id,name,genreisnongame,genreisindie,genreisaction,genreisadventure,genreiscasual,genreisstrategy,genreisrpg,genreissimulation,genreisearlyaccess,genreisfreetoplay,genreissports,genreisracing,genreismassivelymultiplayer
70,Gumboy: Crazy Adventures,false,true,false,false,true,false,false,false,false,false,false,false,false
71,Gumboy Crazy Features,false,true,false,false,true,false,false,false,false,false,false,false,false
72,RIP,false,true,false,false,true,false,false,false,false,false,false,false,false
73,RIP 2: Strike Back,false,true,false,false,true,false,false,false,false,false,false,false,false
74,RIP 3: The Last Hero,false,true,false,false,true,false,false,false,false,false,false,false,false
75,Vigil: Blood Bitterness,false,true,false,false,false,false,true,false,false,false,false,false,false
76,Alpha Prime,false,false,true,false,false,false,false,false,false,false,false,false,false
77,Vampire: The Masquerade - Bloodlines,false,false,true,false,false,false,false,false,false,false,false,false,false
78,GUN,false,false,true,false,false,false,false,false,false,false,false,false,false
79,Call of Duty,false,false,true,false,false,false,false,false,false,false,false,false,false
80,Call of Duty 2,false,false,true,false,false,false,false,false,false,false,false,false,false
81,Call of Duty: United Offensive,false,false,true,false,false,false,false,false,false,false,false,false,false
82,RollerCoaster Tycoon 3: Platinum!,false,false,false,false,false,true,false,true,false,false,false,false,false
83,Act of War: Direct Action,false,false,true,false,false,false,false,false,false,false,false,false,false
84,ThreadSpace: Hyperbol,false,true,true,false,false,true,false,false,false,false,false,false,false
85,Arma: Combat Operations,false,false,true,false,false,false,false,false,false,false,false,false,false
86,X2: The Threat,false,false,false,false,false,true,false,false,false,false,false,false,false
87,X3: Reunion,false,false,false,false,false,true,false,false,false,false,false,false,false
88,X3: Terran Conflict,false,false,true,false,false,true,false,true,false,false,false,false,false
89,X: Beyond the Frontier,false,false,false,false,false,true,false,true,false,false,false,false,false
90,X-Tension,false,false,false,false,false,true,false,true,false,false,false,false,false
91,X Rebirth,false,false,true,false,false,false,false,true,false,false,false,false,false
92,688(I) Hunter/Killer,false,false,false,false,false,true,false,false,false,false,false,false,false
93,Fleet Command,false,false,false,false,false,true,false,false,false,false,false,false,false
94,Sub Command,false,false,false,false,false,true,false,false,false,false,false,false,false
95,FlatOut 2,false,false,false,false,false,false,false,false,false,false,false,true,false
96,GTI Racing,false,false,false,false,false,false,false,false,false,false,false,true,false
97,Xpand Rally,false,false,false,false,false,false,false,false,false,false,false,true,false
98,Call of Juarez,false,false,true,false,false,false,false,false,false,false,false,false,false
99,Xpand Rally Xtreme,false,false,false,false,false,false,false,false,false,false,false,true,false
100,Men of War: Red Tide,false,false,false,false,false,true,false,false,false,false,false,false,false
101,King's Bounty: Armored Princess,false,false,false,false,false,true,true,false,false,false,false,false,false
102,Painkiller: Gold Edition,false,false,true,false,false,false,false,false,false,false,false,false,false
103,Genesis Rising,false,false,false,false,false,true,false,false,false,false,false,false,false
104,Safecracker: The Ultimate Puzzle Adventure,false,false,false,true,true,false,false,false,false,false,false,false,false
105,Painkiller Overdose,false,false,true,false,false,false,false,false,false,false,false,false,false
106,Bejeweled 2 Deluxe,false,false,false,false,true,false,false,false,false,false,false,false,false
107,Chuzzle Deluxe,false,false,false,false,true,false,false,false,false,false,false,false,false
108,Insaniquarium! Deluxe,false,false,false,false,true,false,false,false,false,false,false,false,false
109,Zuma Deluxe,false,false,false,false,true,false,false,false,false,false,false,false,false
110,AstroPop Deluxe,false,false,false,false,true,false,false,false,false,false,false,false,false
111,Bejeweled Deluxe,false,false,false,false,true,false,false,false,false,false,false,false,false
112,Big Money! Deluxe,false,false,false,false,true,false,false,false,false,false,false,false,false
113,Dynomite! Deluxe,false,false,false,false,true,false,false,false,false,false,false,false,false
114,Feeding Frenzy 2: Shipwreck Showdown Deluxe,false,false,false,false,true,false,false,false,false,false,false,false,false
115,Hammer Heads Deluxe,false,false,false,false,true,false,false,false,false,false,false,false,false
116,Heavy Weapon Deluxe,false,false,false,false,true,false,false,false,false,false,false,false,false
117,Iggle Pop! Deluxe,false,false,false,false,true,false,false,false,false,false,false,false,false
118,Pizza Frenzy,false,false,false,false,true,false,false,false,false,false,false,false,false
119,Rocket Mania! Deluxe,false,false,false,false,true,false,false,false,false,false,false,false,false
120,Typer Shark! Deluxe,false,false,false,false,true,false,false,false,false,false,false,false,false
121,Talismania Deluxe,false,false,false,false,true,false,false,false,false,false,false,false,false
122,Peggle Deluxe,false,false,false,false,true,false,false,false,false,false,false,false,false
123,Peggle Extreme,false,false,false,false,true,false,false,false,false,false,false,false,false
124,Venice,false,false,false,false,true,false,false,false,false,false,false,false,false
125,Mystery P.I.: The Lottery Ticket,false,false,false,false,true,false,false,false,false,false,false,false,false
126,Amazing Adventures: The Lost Tomb,false,false,false,false,true,false,false,false,false,false,false,false,false
127,Mystery PI: The Vegas Heist,false,false,false,false,true,false,false,false,false,false,false,false,false
128,Amazing Adventures Around the World,false,false,false,false,true,false,false,false,false,false,false,false,false
129,Peggle Nights,false,false,false,false,true,false,false,false,false,false,false,false,false
130,Bejeweled Twist,false,false,false,false,true,true,false,false,false,false,false,false,false
131,Mystery P.I.: The New York Fortune,false,false,false,false,true,false,false,false,false,false,false,false,false
132,The Wizard's Pen,false,false,false,false,true,false,false,false,false,false,false,false,false
133,Plants vs. Zombies: Game of the Year,false,false,false,false,false,true,false,false,false,false,false,false,false
134,Escape Rosecliff Island,false,false,false,false,true,false,false,false,false,false,false,false,false
135,Mystery P.I.: Lost in Los Angeles,false,false,false,false,true,false,false,false,false,false,false,false,false
136,Zuma's Revenge,false,false,true,false,true,false,false,false,false,false,false,false,false
137,Sniper Elite,false,false,true,false,false,false,false,false,false,false,false,false,false
138,Judge Dredd: Dredd vs Death,false,false,true,false,false,false,false,false,false,false,false,false,false
139,Evil Genius,false,false,false,false,false,true,false,false,false,false,false,false,false
140,Aliens versus Predator Classic 2000,false,false,true,false,false,false,false,false,false,false,false,false,false
141,Advent Rising,false,false,true,false,false,false,false,false,false,false,false,false,false
142,BloodRayne,false,false,true,false,false,false,false,false,false,false,false,false,false
143,BloodRayne 2,false,false,true,false,false,false,false,false,false,false,false,false,false
144,Psychonauts,false,false,true,false,false,false,false,false,false,false,false,false,false
145,Sid Meier's Civilization IV,false,false,false,false,false,true,false,false,false,false,false,false,false
