id,name,category
1,Counter-Strike,Multiplayer
2,Team Fortress Classic,Multiplayer
3,Day of Defeat,Multiplayer
4,Deathmatch Classic,Multiplayer
5,Half-Life: Opposing Force,Multiplayer
6,Ricochet,Multiplayer
7,Half-Life,Multiplayer
8,Counter-Strike: Condition Zero,Multiplayer
9,Counter-Strike: Condition Zero Deleted Scenes,Multiplayer
