"name","Price"
"Vegas: Make It Big",4.99
"FlatOut",7.49
"Making History: The Calm & The Storm",4.99
"Ducati World Championship",4.99
"Dreamfall: The Longest Journey",19.99
"The Longest Journey",9.99
"Bloodline Champions",0.0
"Joint Task Force",9.99
"Nexus: The Jupiter Incident",9.99
"Lost Planet: Extreme Condition",14.99
"Devil May Cry 3: Special Edition",19.99
"Bullet Candy",3.99
"Commandos: Behind Enemy Lines",3.99
"Commandos: Beyond the Call of Duty",3.99
"Commandos 2: Men of Courage",3.99
"Commandos 3: Destination Berlin",3.99
"Hitman 2: Silent Assassin",6.99
"Hitman: Blood Money",8.99
"Battlestations: Midway",6.99
"Just Cause",6.99
"Hitman: Codename 47",6.99
"Deus Ex: Game of the Year Edition",6.99
"Deus Ex: Invisible War",6.99
"Thief: Deadly Shadows",8.99
"Tomb Raider: Legend",6.99
"Project: Snowblind",5.99
"Rogue Trooper",9.99
"Jade Empire: Special Edition",14.99
"TrackMania United",29.99
"Runaway: A Road Adventure",9.99
"Runaway: The Dream of the Turtle",9.99
"Loki",9.99
"Azada",9.99
"X-Blades",9.99
"Two Worlds II",19.99
"Two Worlds II Castle Defense",9.99
"Sid Meier's Railroads!",9.99
"Railroad Tycoon 3",9.99
"Railroad Tycoon 2: Platinum",4.99
"X-COM: Terror from the Deep",4.99
"X-COM: Apocalypse",4.99
"BioShock",19.99
"X-COM: Interceptor",4.99
"X-COM: UFO Defense",4.99
"X-COM: Enforcer",4.99
"Men of War",4.99
"Death Track: Resurrection",2.99
"NecroVisioN",4.99
"Call of Duty 4: Modern Warfare",19.99
"Cabelas Trophy Bucks",19.99
"Tomb Raider: Anniversary",8.99
"Kane & Lynch: Dead Men",6.99
"Conflict: Denied Ops",5.99
"Tomb Raider: Underworld",8.99
"Battlestations: Pacific",8.99
"Just Cause 2",14.99
"Sam & Max 101: Culture Shock",0.0
"Sam & Max 102: Situation: Comedy",0.0
"Sam & Max 103: The Mole, the Mob and the Meatball",0.0
"Sam & Max 104: Abe Lincoln Must Die!",0.0
"Sam & Max 105: Reality 2.0",0.0
"Sam & Max 106: Bright Side of the Moon",0.0
"Sam & Max 201: Ice Station Santa",0.0
"Sam & Max 202: Moai Better Blues",0.0
"Sam & Max 203: Night of the Raving Dead",0.0
"Sam & Max 204: Chariots of the Dogs",0.0
"Sam & Max 205: What's New Beelzebub?",0.0
"Bone: Out from Boneville",9.99
"Bone: The Great Cow Race",9.99
"Telltale Texas Hold'Em",2.99
"Strong Bad Episode 1: Homestar Ruiner",19.99
"Strong Bad Episode 2: Strong Badia the Free",0.0
"Strong Bad Episode 3: Baddest of the Bands",0.0
"Strong Bad Episode 4: Dangeresque 3",0.0
"Strong Bad Episode 5: 8-Bit Is Enough",0.0
"Geometry Wars: Retro Evolved",3.99
"EVE Online",19.99
"RACE 07",3.99
"RACE On",7.99
,7.99
"GTR 2 - FIA GT Racing Game",7.99
"Sid Meier's Civilization IV: Beyond the Sword",9.99
"BioShock 2",19.99
"BioShock Infinite",29.99
"Freedom Force",4.99
"Freedom Force vs. the 3rd Reich",4.99
"Sid Meier's Civilization V",29.99
"Axel & Pixel",4.99
"Borderlands",19.99
"Wolfenstein 3D: Spear of Destiny",2.99
"Return to Castle Wolfenstein",4.99
"Quake Mission Pack 2: Dissolution of Eternity",2.99
"Quake Mission Pack 1: Scourge of Armagon",2.99
"DOOM 3",4.99
"HeXen II",4.99
"Master Levels for DOOM II",14.99
"Commander Keen Complete Pack",4.99
"RAGE",9.99
"Rage",9.99
"Warhammer 40,000: Dawn of War – Winter Assault",12.99
"Company of Heroes: Opposing Fronts",19.99
"Supreme Commander",14.99
"Supreme Commander: Forged Alliance",14.99
"Warhammer 40,000: Dawn of War – Soulstorm",12.99
"Frontlines: Fuel of War",19.99
"Saints Row 2",9.99
"Gish",9.99
"Desperados 2: Cooper’s Revenge",9.99
"Tycoon City: New York",9.99
"Act of War: High Treason",2.99
"Death to Spies",4.99
"Codename: Panzers - Cold War",14.99
"Ghostbusters: The Video Game",9.99
"Champions Online",0.0
"Star Trek Online",0.0
"Test Drive Unlimited 2",19.99
"Blade Kitten",2.99
"Haunted House",5.99
"Star Raiders",9.99
"The UnderGarden",6.99
"Ghostbusters: Sanctum of Slime",9.99
"Call of Duty: World at War",19.99
"King's Quest Collection",19.99
"Space Quest Collection",19.99
"Aces of the Galaxy",4.99
"TimeShift",19.99
"3D Ultra Minigolf Adventures Deluxe",4.99
"Prototype",19.99
"Call of Duty: Modern Warfare 2",19.99
"Call of Duty: Modern Warfare 2 - Multiplayer",19.99
"Postal 3",14.99
"Dead Mountaineer's Hotel",9.99
"Stroke of Fate: Operation Valkyrie",9.99
"PT Boats: Knights of the Sea",9.99
"PT Boats: South Gambit",9.99
"Disciples III: Reincarnation",9.99
"The Club",14.99
"Empire: Total War",19.99
"Beijing 2008",0.0
"Space Siege",14.99
"Aliens vs. Predator",14.99
"TrackMania Nations Forever",0.0
"Sherlock Holmes: Nemesis",9.99
"Dracula: Origin",9.99
"Sherlock Holmes: The Mystery of The Mummy",0.0
"Sherlock Holmes: The Awakened - Remastered",9.99
"Sherlock Holmes: The Secret of the Silver Earring",9.99
"Sherlock Holmes: The Mystery of The Persian Carpet",9.99
"Sherlock Holmes versus Jack the Ripper",9.99
"Shadowgrounds: Survivor",9.99
"Gumboy Tournament",2.99
"Space Trader: Merchant Marine",4.99
"Pacific Storm",7.99
"Pacific Storm: Allies",7.99
"Penguins Arena: Sedna's World",5.99
"Obulis",4.99
"Larva Mortus",4.99
"Chains",4.99
"Nikopol: Secrets of the Immortals",4.99
"Crash Time II",9.99
"Overlord",4.99
"Soldiers: Heroes of World War II",4.99
"Maelstrom",4.99
"Hospital Tycoon",4.99
"Dragon Nest",0.0
"Lumines",9.99
"Lumines: Advanced Pack",7.99
"Grand Theft Auto III",9.99
"Grand Theft Auto: Vice City",9.99
"Grand Theft Auto: San Andreas",14.99
"Manhunt",9.99
"Max Payne",9.99
"Max Payne 2: The Fall of Max Payne",9.99
"Midnight Club II",9.99
"Grand Theft Auto",0.0
"Grand Theft Auto 2",0.0
"Bully: Scholarship Edition",14.99
"Grand Theft Auto IV",19.99
"Grand Theft Auto: Episodes from Liberty City",19.99
"Culpa Innata",9.99
"Sacred Gold",9.99
"DarkStar One",7.99
"Jack Keane",9.99
"FlatOut: Ultimate Carnage",19.99
"Jagged Alliance 2: Gold Pack",19.99
"Jagged Alliance 2 Gold: Unfinished Business",19.99
"Exodus from the Earth",14.99
"Perimeter 2: New Earth",14.99
"SlamIt Pinball: Big Score",4.99
"Ankh 2: Heart of Osiris",4.99
"Ankh 3: Battle of the Gods",9.99
"BC Kings",4.99
"Port Royale 2",4.99
"9th Company - Roots of Terror",9.99
"Puzzle Quest",9.99
"Prison Tycoon 3: Lockdown",9.99
"18 Wheels of Steel: American Long Haul",9.99
"Hunting Unlimited 2008",9.99
"Mahjongg Investigations: Under Suspicion",9.99
"Ride! Carnival Tycoon",9.99
"Hot Dish",9.99
"Dr. Daisy: Pet Vet",9.99
"Sprint Cars: Road to Knoxville",9.99
"Midnight Outlaw: 6 Hours to Sun Up",9.99
"Legend: Hand of God",9.99
"Drakensang",9.99
"Fetch It Again",6.99
"Miss Popularity",6.99
"Mission Runway",9.99
"Hunting Unlimited 2010",9.99
"Overlord: Raising Hell",9.99
"GRID",14.99
"Rise of the Argonauts",9.99
"Damnation",9.99
"Overlord II",9.99
"Operation Flashpoint: Dragon Rising",9.99
"Audiosurf",9.99
"Ninja Reflex: Steamworks Edition",4.99
"America's Army 3",0.0
"Unreal II: The Awakening",14.99
"Unreal Tournament 3: Black Edition",19.99
"Unreal Tournament 2004",14.99
"Unreal Tournament: Game of the Year Edition",9.99
"Unreal Gold",9.99
"Prince of Persia: Warrior Within",9.99
"Far Cry",9.99
"Prince of Persia: The Two Thrones",9.99
"Tom Clancy's Rainbow Six: Vegas",9.99
"Tom Clancy's Splinter Cell",9.99
"Tom Clancy's Splinter Cell: Chaos Theory",9.99
"Tom Clancy's Splinter Cell: Double Agent",9.99
"Prince of Persia: The Sands of Time",9.99
"Tom Clancy's Ghost Recon: Desert Siege",4.99
"Tom Clancy's Ghost Recon: Island Thunder",4.99
