"Genre","name"
"Free to Play","Heroes of SoulCraft"
"Free to Play","Granado Espada"
"Free to Play","Warside"
"Free to Play","Sigils of Elohim"
"Free to Play","Rising Angels: Reborn"
"Free to Play","TERA"
"Free to Play","MoW: Face Off M"
"Free to Play","CaesarIA"
"Free to Play","Tales Runner"
"Free to Play","Battlegrounds of Eldhelm"
"Free to Play","Gems of War"
"Free to Play","Krosmaster Arena"
"Free to Play","Kingdoms CCG"
"Free to Play","Running Shadow"
"Free to Play","Heavy Metal Machines"
"Free to Play","Everlasting Summer"
"Free to Play","School of Dragons: How to Train Your Dragon"
"Free to Play","Dirty Bomb"
"Free to Play","Epic Arena"
"Free to Play","Magic Barrage - Bitferno"
"Free to Play","Transformice"
"Free to Play","Brick-Force"
"Free to Play","Dream Of Mirror Online"
"Free to Play","Combat Monsters"
"Free to Play","Anno Online"
"Free to Play","Might & Magic Heroes Online"
"Free to Play","HIT"
"Free to Play","Karos"
"Free to Play","The SKIES"
"Free to Play","Echoes+"
"Free to Play","Batla"
"Free to Play","Nightbanes"
"Free to Play","Navy Field 2 : Conqueror of the Ocean"
"Free to Play","Demise of Nations"
"Free to Play","Fork Parker's Holiday Profit Hike"
"Free to Play","Strife"
"Free to Play","VEGA Conflict"
"Free to Play","FreeStyle2: Street Basketball"
"Free to Play","Quintet"
"Free to Play","Spartans Vs Zombies Defense"
"Free to Play","TDP4:Team Battle"
"Free to Play","Deepworld"
"Free to Play","Among Ripples"
"Free to Play","Games of Glory"
"Free to Play","MechWarrior Online"
"Free to Play","HIS (Heroes In the Sky)"
"Free to Play","Destination Sol"
"Free to Play","CroNix"
"Free to Play","Irrational Exuberance: Prologue"
"Free to Play","InMind VR"
"Free to Play","Immortal Empire"
"Free to Play","Universal Combat CE 2.0"
"Free to Play","Without Within"
"Free to Play","Boring Man - Online Tactical Stickman Combat"
"Free to Play","The Old Tree"
"Free to Play","BrainBread 2"
"Free to Play","AdVenture Capitalist"
"Free to Play","16 Bit Arena"
"Free to Play","Google Earth VR"
"Free to Play","Bierzerkers"
"Free to Play","Voices from the Sea"
"Free to Play","Walkover"
"Free to Play","Aftermath"
"Free to Play","Audition Online"
"Free to Play","The Gate"
"Free to Play","Alganon"
"Free to Play","Red Stone Online"
"Free to Play","Bloodwood Reload"
"Free to Play","Pixel Puzzles Ultimate"
"Free to Play","Rustbucket Rumble"
"Free to Play","Clean'Em Up"
"Free to Play","Fire With Fire: Online Tower Attack and Defense"
"Free to Play","Eternal Senia"
"Free to Play","Invisible Apartment"
"Free to Play","Dev Guy"
"Free to Play","Curse of Mermos"
"Free to Play","Subspace Continuum"
"Free to Play","Time of Dragons"
"Free to Play","how do you Do It?"
"Free to Play","Aberoth"
"Free to Play","LoveBeat"
"Free to Play","The Settlers Online"
"Free to Play","TDP5 Arena 3D"
"Free to Play","Codename CURE"
"Free to Play","Survarium"
"Free to Play","Heroes of Scene"
"Free to Play","METAL SLUG DEFENSE"
"Free to Play","Dragomon Hunter"
"Free to Play","Soccer Manager 2015"
"Free to Play","Spooky's Jump Scare Mansion"
"Free to Play","Frozen Free Fall: Snowball Fight"
"Free to Play","Stargunner"
"Free to Play","Copa Petrobras de Marcas"
"Free to Play","Cards and Castles"
"Free to Play","Run and Fire"
"Free to Play","Ultimate Tic-Tac-Toe"
"Free to Play","Metal Reaper Online"
"Free to Play","Regimental Chess"
"Free to Play","Clicker Heroes"
"Free to Play","Swordsman"
"Free to Play","Escape"
"Free to Play","One Manga Day"
"Free to Play","Shadow Hunter"
"Free to Play","Transmissions: Element 120"
"Free to Play","Mainland"
"Free to Play","Visibility"
"Free to Play","Jigoku Kisetsukan: Sense of the Seasons"
"Free to Play","Force of Elements"
"Free to Play","Vinyl"
"Free to Play","Ghost in the Shell Stand Alone Complex First Assault Online"
"Free to Play","Let the Cat In"
"Free to Play","Karos Returns"
"Free to Play","Tree of Savior (English Ver.)"
"Free to Play","Astro Lords: Oort Cloud"
"Free to Play","The Lost Mythologies"
"Free to Play","RPG MO"
"Free to Play","Shot In The Dark"
"Free to Play","All Is Dust"
"Free to Play","Ryzom"
"Free to Play","Ember Strike"
"Free to Play","Bitweb"
