"Genre","name"
"Strategy","Dawn of Discovery"
"Strategy","Tropico"
"Strategy","Tropico 2: Pirate Cove"
"Strategy","Patrician III"
"Strategy","The Great Art Race"
"Strategy","Disciples III: Renaissance"
"Strategy","Arma 2"
"Strategy","Arma 2"
"Strategy","Arma 2: Operation Arrowhead"
"Strategy","Napoleon: Total War"
"Strategy","Gain Ground"
"Strategy","Columns"
"Strategy","Dr. Robotnik's Mean Bean Machine"
"Strategy","Total War: SHOGUN 2"
"Strategy","XIII Century"
"Strategy","Sid Meier's Civilization IV"
"Strategy","Sid Meier's Civilization IV: Warlords"
"Strategy","Sid Meier's Civilization IV: Beyond the Sword"
"Strategy","Sid Meier's Civilization IV: Colonization"
"Strategy","Light of Altair"
"Strategy","Order of War"
"Strategy","Massive Assault"
"Strategy","Massive Assault: Phantom Renaissance"
"Strategy","Massive Assault Network 2"
"Strategy","Warfare"
"Strategy","Dwarfs!?"
"Strategy","Big Brain Wolf"
"Strategy","Westward IV"
"Strategy","UFO: Extraterrestrials Gold"
"Strategy","Fallout Tactics"
"Strategy","RUSH"
"Strategy","Moonbase Alpha"
"Strategy","The Guild Gold Edition"
"Strategy","The Guild II"
"Strategy","The Guild II - Pirates of the European Seas"
"Strategy","The Guild II: Renaissance"
"Strategy","Supreme Commander 2"
"Strategy","Rush for Berlin: Gold Edition"
"Strategy","AI War: Fleet Command"
"Strategy","Sacraboar"
"Strategy","Stronghold HD"
"Strategy","Stronghold 2"
"Strategy","Stronghold Crusader HD"
"Strategy","Stronghold Legends"
"Strategy","Gratuitous Space Battles"
"Strategy","Krater"
"Strategy","For The Glory"
"Strategy","Arsenal of Democracy"
"Strategy","Sword of the Stars Complete Collection"
"Strategy","Hearts of Iron III: Semper Fi Expansion"
"Strategy","The Kings' Crusade"
"Strategy","Elven Legacy: Magic"
"Strategy","Elven Legacy: Siege"
"Strategy","Elven Legacy: Ranger"
"Strategy","Victoria II"
"Strategy","Victoria: Revolutions"
"Strategy","Sword of the Stars II: Enhanced Edition"
"Strategy","M.U.D. TV"
"Strategy","Galcon Fusion"
"Strategy","Operation Flashpoint: Red River"
"Strategy","Sol Survivor"
"Strategy","Star Wolves 3: Civil War"
"Strategy","Star Wolves"
"Strategy","Star Wolves 2"
"Strategy","Theatre of War"
"Strategy","Theatre of War 2: Africa 1943"
"Strategy","Real Warfare"
"Strategy","Theatre of War 2: Kursk 1943"
"Strategy","Reign: Conflict of Nations"
"Strategy","Future Wars"
"Strategy","Grotesque Tactics: Evil Heroes"
"Strategy","Trapped Dead"
"Strategy","Robin Hood"
"Strategy","Grotesque Tactics 2 - Dungeons and Donuts"
"Strategy","Ironclads: American Civil War"
"Strategy","Ironclads: High Seas"
"Strategy","Ironclads: Schleswig War 1864"
"Strategy","Making History II: The War of the World"
"Strategy","Armada 2526"
"Strategy","Ironclads: Anglo Russian War 1866"
"Strategy","Ironclads: Chincha Islands War 1866"
"Strategy","Stronghold 3"
"Strategy","Stronghold Kingdoms"
"Strategy","Command and Conquer 4: Tiberian Twilight"
"Strategy","RISK Factions"
"Strategy","The Settlers 7: Paths to a Kingdom - Gold Edition"
"Strategy","Might & Magic: Heroes VI"
"Strategy","Anno 2070"
"Strategy","Greed Corp"
"Strategy","Commander: Conquest of the Americas"
"Strategy","Pirates of Black Cove"
"Strategy","Magic: The Gathering - Duels of the Planeswalkers Teeth of the Predator Unlock"
"Strategy","Magic: The Gathering — Duels of the Planeswalkers 2012"
"Strategy","Sid Meier's Civilization V"
"Strategy","Flotilla"
"Strategy","Atom Zombie Smasher"
"Strategy","Warhammer® 40,000™: Dawn of War® II – Retribution™"
"Strategy","Warhammer 40,000: Dawn of War II - Retribution - Campaign DLC"
"Strategy","Warhammer 40,000: Dawn of War II - Retribution - Last Stand DLC"
"Strategy","Patrician IV: Steam Special Edition"
"Strategy","DUNGEONS - Steam Special Edition"
"Strategy","Tropico 4"
"Strategy","Jagged Alliance - Back in Action"
"Strategy","Blood Bowl: Legendary Edition"
"Strategy","A Game of Thrones - Genesis"
"Strategy","Wargame: European Escalation"
"Strategy","Power Of Defense"
"Strategy","Age of Wonders"
"Strategy","Age of Wonders 2"
"Strategy","Age of Wonders: Shadow Magic"
"Strategy","Might & Magic: Clash of Heroes"
"Strategy","HOARD"
"Strategy","Monday Night Combat"
"Strategy","Monday Night Combat"
"Strategy","Swords and Soldiers HD"
"Strategy","Delve Deeper"
"Strategy","Fantasy Wars"
"Strategy","King's Bounty: Crossworlds"
"Strategy","Men of War: Vietnam"
"Strategy","Theatre of War 3: Korea"
"Strategy","Men of War: Assault Squad"
"Strategy","Archon:Classic"
"Strategy","SpellForce 2 - Faith in Destiny"
"Strategy","Carrier Command: Gaea Mission"
"Strategy","Arma: Gold Edition"
"Strategy","Arma: Cold War Assault"
"Strategy","Dungeon Defenders"
"Strategy","Sid Meier's Civilization: Beyond Earth"
"Strategy","Worms Ultimate Mayhem"
"Strategy","Worms Crazy Golf"
"Strategy","Worms"
"Strategy","Worms Blast"
"Strategy","Star Ruler"
"Strategy","Clones"
"Strategy","Majesty 2 Collection"
"Strategy","Defenders of Ardania"
"Strategy","Darkest Hour: A Hearts of Iron Game"
"Strategy","Pride of Nations"
"Strategy","Sengoku"
"Strategy","Supreme Ruler Cold War"
"Strategy","Bejeweled 3"
"Strategy","APOX"
"Strategy","Fate of the World"
"Strategy","Guardians of Graxia"
"Strategy","Anomaly Warzone Earth"
"Strategy","Iron Front : Liberation 1944"
"Strategy","Sanctum"
"Strategy","Hydrophobia: Prophecy"
"Strategy","DETOUR"
"Strategy","Revenge of the Titans"
"Strategy","Slam Bolt Scrappers"
"Strategy","Kohan: Immortal Sovereigns"
"Strategy","Kohan: Ahriman's Gift"
"Strategy","Kohan II: Kings of War"
"Strategy","Magic: The Gathering - Duels of the Planeswalkers 2013"
"Strategy","Frozen Synapse"
