"Genre","name"
"RPG","Geneforge 2"
"RPG","Geneforge 3"
"RPG","Geneforge 4"
"RPG","Geneforge 5"
"RPG","Pox Nora"
"RPG","EverQuest II"
"RPG","Serious Sam: The Random Encounter"
"RPG","Demigod"
"RPG","King's Bounty: Warriors of the North"
"RPG","Fortune Summoners: Secret of the Elemental Stone"
"RPG","Crusader Kings II"
"RPG","Fable - The Lost Chapters"
"RPG","Castle Crashers"
"RPG","Confrontation"
"RPG","EverQuest Free-to-Play"
"RPG","Jagged Alliance: Crossfire"
"RPG","Avernum 4"
"RPG","Avernum 5"
"RPG","Avernum 6"
"RPG","ClaDun x2"
"RPG","To the Moon"
"RPG","Dungeons & Dragons Online®"
"RPG","Legend of Grimrock"
"RPG","Ys: The Oath in Felghana"
"RPG","Ys Origin"
"RPG","Hack, Slash, Loot"
"RPG","Avernum: Escape From the Pit"
"RPG","STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™"
"RPG","Game of Thrones"
"RPG","Apotheon"
"RPG","War of the Immortals"
"RPG","RAW - Realms of Ancient War"
"RPG","Lone Survivor: The Director's Cut"
"RPG","Alien Shooter 2 Conscription"
"RPG","Magical Diary"
"RPG","Dark Souls: Prepare to Die Edition"
"RPG","Wanderlust: Rebirth"
"RPG","Starbound"
"RPG","Vindictus"
"RPG","Mabinogi"
"RPG","Atlantica Online"
"RPG","C9"
"RPG","The Lord of the Rings Online™"
"RPG","Penny Arcade's On the Rain-Slick Precipice of Darkness 3"
"RPG","The Lord of the Rings Online™: Riders of Rohan™ Heroic Edition Live"
"RPG","South Park™: The Stick of Truth™"
"RPG","Divine Divinity"
"RPG","Space Rangers HD: A War Apart"
"RPG","Half Minute Hero: Super Mega Neo Climax Ultimate Boy"
"RPG","WAKFU"
"RPG","Ragnarok"
"RPG","ROSE Online"
"RPG","The Secret World"
"RPG","The Incredible Adventures of Van Helsing"
"RPG","Zombie Playground™"
"RPG","Demonicon"
"RPG","Jagged Alliance 2 - Wildfire"
"RPG","MapleStory"
"RPG","Fallen Enchantress"
"RPG","Of Orcs And Men"
"RPG","Din's Curse"
"RPG","Age of Conan: Unchained"
"RPG","Nethergate: Resurrection"
"RPG","Defender's Quest: Valley of the Forgotten"
"RPG","PAYDAY 2"
"RPG","Mercenary Kings"
"RPG","The Banner Saga: Factions"
"RPG","Beyond Divinity"
"RPG","Divinity II: Developer's Cut"
"RPG","Grim Dawn"
"RPG","Towns"
"RPG","Champions of Regnum"
"RPG","Dead Pixels"
"RPG","Sea Dogs: To Each His Own"
"RPG","Perpetuum"
"RPG","Miner Wars 2081"
"RPG","Blockscape"
"RPG","AirBuccaneers"
"RPG","Ys I"
"RPG","Ys II"
"RPG","Folk Tale"
"RPG","Defiance"
"RPG","Full Mojo Rampage"
"RPG","DARK"
"RPG","Sacred 2 Gold"
"RPG","Marvel Heroes 2016"
"RPG","Desktop Dungeons"
"RPG","Infestation: Survivor Stories Classic"
"RPG","Monster Loves You!"
"RPG","Age of Wonders III"
"RPG","Hegemony Rome: The Rise of Caesar"
"RPG","Kingdom Wars"
"RPG","Sang-Froid - Tales of Werewolves"
"RPG","Darkfall Unholy Wars"
"RPG","10000000"
"RPG","StarForge"
"RPG","Firefall"
"RPG","Baldur's Gate: Enhanced Edition"
"RPG","Dungeons & Dragons: Chronicles of Mystara"
"RPG","Might & Magic: Heroes VI - Shades of Darkness"
"RPG","The Age of Decadence"
"RPG","Divinity: Original Sin (Classic)"
"RPG","Akaneiro: Demon Hunters"
"RPG","Ragnarok Online 2"
"RPG","Knights of Pen and Paper +1"
"RPG","SolForge"
"RPG","Mars: War Logs"
"RPG","MURDERED: SOUL SUSPECT™"
"RPG","Avadon 2: The Corruption"
"RPG","Sudeki"
"RPG","Evoland"
"RPG","Sword of the Stars: The Pit"
"RPG","Kenshi"
"RPG","Unepic"
"RPG","Marvel Puzzle Quest"
"RPG","Shadowrun Returns"
"RPG","Prime World"
"RPG","King’s Bounty: Legions"
"RPG","Young Justice: Legacy"
"RPG","Dust: An Elysian Tail"
"RPG","Dungeon Defenders II"
"RPG","Starpoint Gemini 2"
"RPG","Interstellar Marines"
"RPG","DARK SOULS™ II"
"RPG","Elsword"
"RPG","Expeditions: Conquistador"
"RPG","Realms of Arkania: Blade of Destiny"
"RPG","Penny Arcade's On the Rain-Slick Precipice of Darkness 4"
"RPG","Planet Explorers"
"RPG","Agarest: Generations of War"
"RPG","Transistor"
"RPG","The Banner Saga"
"RPG","Deus Ex: Human Revolution - Director's Cut"
"RPG","System Shock 2"
"RPG","Edge of Space"
"RPG","Legend of Dungeon"
"RPG","Might & Magic X - Legacy"
"RPG","Bionic Dues"
"RPG","Path of Exile"
"RPG","Hammerwatch"
"RPG","FINAL FANTASY III"
"RPG","Dying Light"
"RPG","The Mighty Quest For Epic Loot"
"RPG","Dead State"
"RPG","Wanderlust Adventures"
"RPG","Wasteland 2"
"RPG","Half Minute Hero: The Second Coming"
"RPG","State of Decay"
"RPG","Rogue Legacy"
"RPG","Inquisitor"
"RPG","Sorcerer King"
"RPG","Nuclear Throne"
"RPG","In Verbis Virtus"
"RPG","Anachronox"
"RPG","Omikron - The Nomad Soul"
"RPG","Bound By Flame"
"RPG","Divinity: Dragon Commander"
"RPG","StarMade"
"RPG","SpellForce 2 - Demons of the Past"
"RPG","Wizardry 6: Bane of the Cosmic Forge"
"RPG","Wizardry 7: Crusaders of the Dark Savant"
"RPG","Wizardry 8"
"RPG","Tropico 5"
"RPG","Flashback"
"RPG","Legends of Eisenwald"
"RPG","FATE"
"RPG","Talisman: Digital Edition"
"RPG","Crypt of the NecroDancer"
"RPG","Magicka: Wizards of the Square Tablet"
"RPG","Nether"
"RPG","Redshirt"
"RPG","Sacred 3"
"RPG","Craft The World"
"RPG","Legends of Aethereus"
"RPG","Salvation Prophecy"
"RPG","Kingdoms Rise"
"RPG","Iesabel"
"RPG","Dysfunctional Systems: Learning to Manage Chaos"
"RPG","Risk of Rain"
"RPG","NEO Scavenger"
"RPG","Dungeon of the Endless"
"RPG","Risen 3 - Titan Lords"
"RPG","Zafehouse: Diaries"
"RPG","NEStalgia"
"RPG","Delver"
"RPG","Blackguards"
"RPG","Forge Quest"
"RPG","FORCED"
"RPG","How to Survive"
"RPG","8BitMMO"
"RPG","Underrail"
"RPG","C-Wars"
"RPG","Fight The Dragon"
"RPG","Paranautical Activity: Deluxe Atonement Edition"
"RPG","Chroma Squad"
"RPG","The Legend of Heroes: Trails in the Sky"
"RPG","Corpse Party"
"RPG","The Legend of Heroes: Trails in the Sky SC"
"RPG","Call of Cthulhu: The Wasted Land"
"RPG","Heroes of Havoc"
"RPG","7 Days to Die"
"RPG","Soul Saga"
"RPG","Chainsaw Warrior"
"RPG","Legend of Grimrock 2"
"RPG","Steel Storm: A.M.M.O."
"RPG","Long Live The Queen"
"RPG","Valdis Story: Abyssal City"
"RPG","Dungeon Dashers"
"RPG","Space Pirates and Zombies 2"
"RPG","Rust"
"RPG","Death Road to Canada"
"RPG","Eldritch"
"RPG","Fantasy Grounds"
"RPG","Vox"
"RPG","Halfway"
"RPG","Hot Tin Roof: The Cat That Wore A Fedora"
"RPG","Ravensword: Shadowlands"
"RPG","CABAL Online"
"RPG","Steam Marines"
