id,name,Rel,category
9727,Final Days,HAS,Controller Support
9746,Trouble Witches Origin - Episode1 Daughters of Amalgam -,HAS,Controller Support
9747,Breached,HAS,Controller Support
9748,Tick Tock Bang Bang,HAS,Controller Support
9773,Thorne - Son of Slaves (Ep.2),HAS,Controller Support
9774,A Princess' Tale,HAS,Controller Support
