id,name,platformwindows,platformlinux,platformmac
77,Vampire: The Masquerade - Bloodlines,true,false,false
78,GUN,true,false,false
79,Call of Duty,true,false,false
80,Call of Duty 2,true,false,true
81,Call of Duty: United Offensive,true,false,false
82,RollerCoaster Tycoon 3: Platinum!,true,false,true
83,Act of War: Direct Action,true,false,false
84,ThreadSpace: Hyperbol,true,false,false
85,Arma: Combat Operations,true,false,false
86,X2: The Threat,true,false,false
87,X3: Reunion,true,true,true
88,X3: Terran Conflict,true,true,true
89,X: Beyond the Frontier,true,false,false
90,X-Tension,true,false,false
91,X Rebirth,true,true,true
92,688(I) Hunter/Killer,true,false,false
93,Fleet Command,true,false,false
94,Sub Command,true,false,false
95,FlatOut 2,true,false,false
96,GTI Racing,true,false,false
97,Xpand Rally,true,false,false
98,Call of Juarez,true,false,false
99,Xpand Rally Xtreme,true,false,false
100,Men of War: Red Tide,true,false,false
101,King's Bounty: Armored Princess,true,false,true
102,Painkiller: Gold Edition,true,false,false
103,Genesis Rising,true,false,false
104,Safecracker: The Ultimate Puzzle Adventure,true,false,false
105,Painkiller Overdose,true,false,false
106,Bejeweled 2 Deluxe,true,false,true
107,Chuzzle Deluxe,true,false,true
108,Insaniquarium! Deluxe,true,false,false
109,Zuma Deluxe,true,false,true
110,AstroPop Deluxe,true,false,false
111,Bejeweled Deluxe,true,false,false
112,Big Money! Deluxe,true,false,false
113,Dynomite! Deluxe,true,false,false
114,Feeding Frenzy 2: Shipwreck Showdown Deluxe,true,false,false
115,Hammer Heads Deluxe,true,false,false
116,Heavy Weapon Deluxe,true,false,false
117,Iggle Pop! Deluxe,true,false,false
118,Pizza Frenzy,true,false,false
119,Rocket Mania! Deluxe,true,false,false
120,Typer Shark! Deluxe,true,false,false
121,Talismania Deluxe,true,false,false
122,Peggle Deluxe,true,false,true
123,Peggle Extreme,true,false,false
124,Venice,true,false,false
125,Mystery P.I.: The Lottery Ticket,true,false,false
126,Amazing Adventures: The Lost Tomb,true,false,false
127,Mystery PI: The Vegas Heist,true,false,false
128,Amazing Adventures Around the World,true,false,false
129,Peggle Nights,true,false,true
130,Bejeweled Twist,true,false,false
131,Mystery P.I.: The New York Fortune,true,false,false
132,The Wizard's Pen,true,false,false
133,Plants vs. Zombies: Game of the Year,true,false,true
134,Escape Rosecliff Island,true,false,true
135,Mystery P.I.: Lost in Los Angeles,true,false,false
136,Zuma's Revenge,true,false,false
137,Sniper Elite,true,false,false
138,Judge Dredd: Dredd vs Death,true,false,false
139,Evil Genius,true,false,false
140,Aliens versus Predator Classic 2000,true,false,false
141,Advent Rising,true,false,false
142,BloodRayne,true,false,false
143,BloodRayne 2,true,false,false
144,Psychonauts,true,true,true
145,Sid Meier's Civilization IV,true,false,true
146,Sid Meier's Civilization III: Complete,true,false,false
147,Sid Meier's Pirates!,true,false,false
148,Shattered Union,true,false,false
149,CivCity: Rome,true,false,false
150,Sid Meier's Civilization IV: Warlords,true,false,true
151,Garry's Mod,true,true,true
152,Poker Superstars II,true,false,false
153,Race: The WTCC Game,true,false,false
154,Race Dedicated Server,true,false,false
155,RACE: Caterham Expansion,true,false,false
156,RoboBlitz,true,false,false
157,Silverfall,true,false,false
158,City Life 2008,true,false,false
159,Silverfall: Earth Awakening,true,false,false
160,S.T.A.L.K.E.R.: Shadow of Chernobyl,true,false,false
161,Full Spectrum Warrior,true,false,false
162,Full Spectrum Warrior: Ten Hammers,true,false,false
163,Titan Quest,true,false,false
164,Titan Quest: Immortal Throne,true,false,false
165,Company of Heroes,true,false,false
166,"Warhammer 40,000: Dawn of War - Game of the Year Edition",true,false,false
167,"Warhammer 40,000: Dawn of War – Dark Crusade",true,false,false
168,Medieval II: Total War,true,true,true
169,Condemned: Criminal Origins,true,false,false
170,Rome: Total War,true,false,false
171,Rome: Total War - Alexander,true,false,false
172,Medieval II: Total War Kingdoms,true,true,true
173,Heroes of Annihilated Empires,true,false,false
174,Cossacks: Back to War,true,false,false
175,Cossacks: Art of War,true,false,false
176,Cossacks: European Wars,true,false,false
177,Cossacks II: Battle for Europe,true,false,false
178,Zen of Sudoku,true,false,false
179,Natural Selection 2,true,true,false
180,Natural Selection 2 - Deluxe DLC,true,true,false
181,STAR WARS™ Republic Commando,true,false,false
182,Indiana Jones and the Fate of Atlantis,true,false,true
183,STAR WARS™ Jedi Knight: Jedi Academy™,true,false,true
184,STAR WARS™ Jedi Knight II: Jedi Outcast™,true,false,true
185,The Dig,true,false,true
186,STAR WARS™ Battlefront™ II,true,false,false
187,Thrillville: Off the Rails,true,false,false
188,Armed and Dangerous,true,false,false
189,Shank,true,true,true
190,Shank pre-order,true,true,true
191,Ghost Master,true,false,false
192,Vegas: Make It Big,true,false,false
193,FlatOut,true,false,false
194,Making History: The Calm & The Storm,true,false,false
195,Ducati World Championship,true,false,false
196,Dreamfall: The Longest Journey,true,false,false
197,The Longest Journey,true,false,false
198,Bloodline Champions,true,false,false
199,Joint Task Force,true,false,false
200,Nexus: The Jupiter Incident,true,false,false
201,Lost Planet: Extreme Condition,true,false,false
202,Devil May Cry 3: Special Edition,true,false,false
203,Bullet Candy,true,false,false
204,Commandos: Behind Enemy Lines,true,false,false
205,Commandos: Beyond the Call of Duty,true,false,false
206,Commandos 2: Men of Courage,true,false,false
207,Commandos 3: Destination Berlin,true,false,false
208,Hitman 2: Silent Assassin,true,false,false
209,Hitman: Blood Money,true,false,false
210,Battlestations: Midway,true,false,false
211,Just Cause,true,false,false
212,Hitman: Codename 47,true,false,false
213,Deus Ex: Game of the Year Edition,true,false,false
214,Deus Ex: Invisible War,true,false,false
215,Thief: Deadly Shadows,true,false,false
216,Tomb Raider: Legend,true,false,false
217,Project: Snowblind,true,false,false
218,Rogue Trooper,true,false,false
219,Jade Empire: Special Edition,true,false,false
220,TrackMania United,true,false,false
221,Runaway: A Road Adventure,true,false,false
222,Runaway: The Dream of the Turtle,true,false,false
223,Loki,true,false,false
224,Azada,true,false,false
225,X-Blades,true,false,false
226,Two Worlds II,true,false,true
227,Two Worlds II Castle Defense,true,false,true
228,Sid Meier's Railroads!,true,false,false
229,Railroad Tycoon 3,true,false,false
230,Railroad Tycoon 2: Platinum,true,false,false
231,X-COM: Terror from the Deep,true,false,false
232,X-COM: Apocalypse,true,false,false
233,BioShock,true,false,false
234,X-COM: Interceptor,true,false,false
235,X-COM: UFO Defense,true,false,false
236,X-COM: Enforcer,true,false,false
237,Men of War,true,false,false
238,Death Track: Resurrection,true,false,false
239,NecroVisioN,true,false,false
240,Call of Duty 4: Modern Warfare,true,false,true
241,Cabelas Trophy Bucks,true,false,false
242,Tomb Raider: Anniversary,true,false,true
243,Kane & Lynch: Dead Men,true,false,false
244,Conflict: Denied Ops,true,false,false
245,Tomb Raider: Underworld,true,false,false
246,Battlestations: Pacific,true,false,false
247,Just Cause 2,true,false,false
248,Sam & Max 101: Culture Shock,true,false,false
249,Sam & Max 102: Situation: Comedy,true,false,false
250,"Sam & Max 103: The Mole, the Mob and the Meatball",true,false,false
251,Sam & Max 104: Abe Lincoln Must Die!,true,false,false
252,Sam & Max 105: Reality 2.0,true,false,false
253,Sam & Max 106: Bright Side of the Moon,true,false,false
254,Sam & Max 201: Ice Station Santa,true,false,true
255,Sam & Max 202: Moai Better Blues,true,false,true
256,Sam & Max 203: Night of the Raving Dead,true,false,true
257,Sam & Max 204: Chariots of the Dogs,true,false,true
258,Sam & Max 205: What's New Beelzebub?,true,false,true
259,Bone: Out from Boneville,true,false,false
260,Bone: The Great Cow Race,true,false,false
261,Telltale Texas Hold'Em,true,false,false
262,Strong Bad Episode 1: Homestar Ruiner,true,false,true
263,Strong Bad Episode 2: Strong Badia the Free,true,false,false
264,Strong Bad Episode 3: Baddest of the Bands,true,false,false
265,Strong Bad Episode 4: Dangeresque 3,true,false,false
266,Strong Bad Episode 5: 8-Bit Is Enough,true,false,false
267,Geometry Wars: Retro Evolved,true,false,false
268,EVE Online,true,false,true
269,RACE 07,true,false,false
270,RACE On,true,false,false
271,,true,false,false
272,GTR 2 - FIA GT Racing Game,true,false,false
273,Sid Meier's Civilization IV: Beyond the Sword,true,false,true
274,BioShock 2,true,false,true
275,BioShock Infinite,true,true,true
276,Freedom Force,true,false,false
277,Freedom Force vs. the 3rd Reich,true,false,false
278,Sid Meier's Civilization V,true,true,true
279,Axel & Pixel,true,false,false
280,Borderlands,true,false,false
281,Wolfenstein 3D: Spear of Destiny,true,false,false
282,Return to Castle Wolfenstein,true,false,false
283,Quake Mission Pack 2: Dissolution of Eternity,true,false,false
284,Quake Mission Pack 1: Scourge of Armagon,true,false,false
285,DOOM 3,true,false,false
286,HeXen II,true,false,false
287,Master Levels for DOOM II,true,false,false
288,Commander Keen Complete Pack,true,false,false
289,RAGE,true,false,false
290,Rage,true,false,false
291,"Warhammer 40,000: Dawn of War – Winter Assault",true,false,false
292,Company of Heroes: Opposing Fronts,true,false,false
293,Supreme Commander,true,false,false
294,Supreme Commander: Forged Alliance,true,false,false
295,"Warhammer 40,000: Dawn of War – Soulstorm",true,false,false
296,Frontlines: Fuel of War,true,false,false
297,Saints Row 2,true,true,false
298,Gish,true,false,true
299,Desperados 2: Cooper’s Revenge,true,false,false
300,Tycoon City: New York,true,false,false
301,Act of War: High Treason,true,false,false
302,Death to Spies,true,false,false
303,Codename: Panzers - Cold War,true,false,false
304,Ghostbusters: The Video Game,true,false,false
305,Champions Online,true,false,false
306,Star Trek Online,true,false,false
307,Test Drive Unlimited 2,true,false,false
308,Blade Kitten,true,false,false
309,Haunted House,true,false,false
310,Star Raiders,true,false,false
311,The UnderGarden,true,false,false
312,Ghostbusters: Sanctum of Slime,true,false,false
313,Call of Duty: World at War,true,false,false
314,King's Quest Collection,true,false,false
315,Space Quest Collection,true,false,false
316,Aces of the Galaxy,true,false,false
317,TimeShift,true,false,false
318,3D Ultra Minigolf Adventures Deluxe,true,false,false
319,Prototype,true,false,false
320,Call of Duty: Modern Warfare 2,true,false,true
321,Call of Duty: Modern Warfare 2 - Multiplayer,true,false,true
322,Postal 3,true,false,false
323,Dead Mountaineer's Hotel,true,false,false
324,Stroke of Fate: Operation Valkyrie,true,false,false
325,PT Boats: Knights of the Sea,true,false,false
326,PT Boats: South Gambit,true,false,false
327,Disciples III: Reincarnation,true,false,false
328,The Club,true,false,false
329,Empire: Total War,true,true,true
330,Beijing 2008,true,false,false
331,Space Siege,true,false,false
332,Aliens vs. Predator,true,false,false
333,TrackMania Nations Forever,true,false,false
334,Sherlock Holmes: Nemesis,true,false,false
335,Dracula: Origin,true,false,false
336,Sherlock Holmes: The Mystery of The Mummy,true,false,false
337,Sherlock Holmes: The Awakened - Remastered,true,false,false
338,Sherlock Holmes: The Secret of the Silver Earring,true,false,false
339,Sherlock Holmes: The Mystery of The Persian Carpet,true,false,false
340,Sherlock Holmes versus Jack the Ripper,true,false,false
341,Shadowgrounds: Survivor,true,false,true
342,Gumboy Tournament,true,false,false
343,Space Trader: Merchant Marine,true,false,false
344,Pacific Storm,true,false,false
345,Pacific Storm: Allies,true,false,false
346,Penguins Arena: Sedna's World,true,false,true
347,Obulis,true,false,false
348,Larva Mortus,true,false,false
349,Chains,true,false,true
350,Nikopol: Secrets of the Immortals,true,false,false
351,Crash Time II,true,false,false
352,Overlord,true,true,true
353,Soldiers: Heroes of World War II,true,false,false
354,Maelstrom,true,false,false
355,Hospital Tycoon,true,false,false
356,Dragon Nest,true,false,false
357,Lumines,true,false,false
358,Lumines: Advanced Pack,true,false,false
359,Grand Theft Auto III,true,false,true
360,Grand Theft Auto: Vice City,true,false,true
361,Grand Theft Auto: San Andreas,true,false,true
362,Manhunt,true,false,false
363,Max Payne,true,false,false
364,Max Payne 2: The Fall of Max Payne,true,false,false
365,Midnight Club II,true,false,false
366,Grand Theft Auto,true,false,false
367,Grand Theft Auto 2,true,false,false
368,Bully: Scholarship Edition,true,false,false
369,Grand Theft Auto IV,true,false,false
370,Grand Theft Auto: Episodes from Liberty City,true,false,false
371,Culpa Innata,true,false,false
372,Sacred Gold,true,false,false
373,DarkStar One,true,false,false
374,Jack Keane,true,false,false
375,FlatOut: Ultimate Carnage,true,false,false
376,Jagged Alliance 2: Gold Pack,true,false,false
377,Jagged Alliance 2 Gold: Unfinished Business,true,false,false
378,Exodus from the Earth,true,false,false
379,Perimeter 2: New Earth,true,false,false
380,SlamIt Pinball: Big Score,true,false,false
381,Ankh 2: Heart of Osiris,true,false,false
382,Ankh 3: Battle of the Gods,true,false,false
383,BC Kings,true,false,false
384,Port Royale 2,true,false,false
385,9th Company - Roots of Terror,true,false,false
386,Puzzle Quest,true,false,false
387,Prison Tycoon 3: Lockdown,true,false,false
388,18 Wheels of Steel: American Long Haul,true,false,false
389,Hunting Unlimited 2008,true,false,false
390,Mahjongg Investigations: Under Suspicion,true,false,false
391,Ride! Carnival Tycoon,true,false,false
392,Hot Dish,true,false,false
393,Dr. Daisy: Pet Vet,true,false,false
394,Sprint Cars: Road to Knoxville,true,false,false
395,Midnight Outlaw: 6 Hours to Sun Up,true,false,false
396,Legend: Hand of God,true,false,false
397,Drakensang,true,false,false
398,Fetch It Again,true,false,false
399,Miss Popularity,true,false,false
400,Mission Runway,true,false,false
401,Hunting Unlimited 2010,true,false,false
402,Overlord: Raising Hell,true,true,true
403,GRID,true,false,false
404,Rise of the Argonauts,true,false,false
405,Damnation,true,false,false
406,Overlord II,true,true,true
407,Operation Flashpoint: Dragon Rising,true,false,false
408,Audiosurf,true,false,false
409,Ninja Reflex: Steamworks Edition,true,false,false
410,America's Army 3,true,false,false
411,Unreal II: The Awakening,true,false,false
412,Unreal Tournament 3: Black Edition,true,false,false
413,Unreal Tournament 2004,true,false,false
414,Unreal Tournament: Game of the Year Edition,true,false,false
415,Unreal Gold,true,false,false
416,Prince of Persia: Warrior Within,true,false,false
417,Far Cry,true,false,false
418,Prince of Persia: The Two Thrones,true,false,false
419,Tom Clancy's Rainbow Six: Vegas,true,false,false
420,Tom Clancy's Splinter Cell,true,false,false
421,Tom Clancy's Splinter Cell: Chaos Theory,true,false,false
422,Tom Clancy's Splinter Cell: Double Agent,true,false,false
423,Prince of Persia: The Sands of Time,true,false,false
424,Tom Clancy's Ghost Recon: Desert Siege,true,false,false
425,Tom Clancy's Ghost Recon: Island Thunder,true,false,false
426,Tom Clancy's Rainbow Six: Lockdown,true,false,false
427,Rayman: Raving Rabbids,true,false,false
428,Assassin's Creed,true,false,false
429,Tom Clancy's Rainbow Six: Vegas 2,true,false,false
430,Beyond Good & Evil,true,false,false
431,Petz Horsez 2,true,false,false
432,Heroes of Might & Magic V,true,false,false
433,Brothers in Arms: Road to Hill 30,true,false,false
434,Silent Hunter: Wolves of the Pacific,true,false,false
435,Silent Hunter III,true,false,false
436,Blazing Angels 2: Secret Missions of WWII,true,false,false
437,Silent Hunter: Wolves of the Pacific U-Boat Missions,true,false,false
438,Cold Fear,true,false,false
439,Pacific Fighters,true,false,false
440,Tom Clancy's Ghost Recon,true,false,false
441,The Settlers: Heritage of Kings,true,false,false
442,IL-2 Sturmovik: 1946,true,false,false
443,Brain Spa,true,false,false
444,Heroes of Might & Magic V: Tribes of the East,true,false,false
445,Heroes of Might & Magic V: Hammers of Fate,true,false,false
446,Brothers in Arms: Hell's Highway,true,false,false
447,Harvest: Massive Encounter,true,true,true
448,The Wonderful End of the World,true,false,false
449,AaAaAA!!! - A Reckless Disregard for Gravity,true,false,false
450,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),true,false,false
451,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,true,true,true
452,"Warhammer® 40,000™: Dawn of War® II",true,false,false
453,Oddworld: Abe's Oddysee,true,false,false
454,Oddworld: Abe's Exoddus,true,false,false
455,Oddworld: Munch's Oddysee,true,false,false
456,Oddworld: Stranger's Wrath HD,true,false,false
457,Planet Busters,true,false,false
458,7 Wonders II,true,false,false
459,Luxor: Amun Rising,true,false,false
460,Luxor 2,true,false,false
461,Luxor 3,true,false,false
462,Reaxxion,true,false,false
463,Little Farm,true,false,false
464,Luxor,true,false,true
465,Discovery! A Seek & Find Adventure,true,false,false
466,Samantha Swift and the Hidden Roses of Athena,true,false,false
467,7 Wonders: The Treasures of Seven,true,false,false
468,Luxor: Quest for the Afterlife,true,false,false
469,Samantha Swift and the Golden Touch,true,false,false
470,Virtual Villagers: A New Home,true,false,false
471,Virtual Villagers 2: The Lost Children,true,false,false
472,Plant Tycoon,true,false,false
473,Fish Tycoon,true,false,false
474,Virtual Villagers 3: The Secret City,true,false,false
475,Virtual Families,true,false,false
476,Everyday Shooter,true,false,false
477,F.E.A.R. 2: Project Origin,true,false,false
478,Chaos Theory,true,false,false
479,Trials 2: Second Edition,true,false,false
480,Monster Trucks Nitro,true,false,true
481,Insecticide Part 1,true,false,false
482,Velvet Assassin,true,false,true
483,Legendary,true,false,false
484,Sid Meier's Civilization IV: Colonization,true,false,true
485,Tribes: Ascend,true,false,false
486,Children of the Nile,true,false,false
487,Children of the Nile: Alexandria,true,false,false
488,Hinterland,true,false,false
489,Mosby's Confederacy,true,false,false
490,Crysis,true,false,false
491,Crysis Warhead,true,false,false
492,Crysis Wars,true,false,false
493,Spore,true,false,false
494,Mirror's Edge,true,false,false
495,Need for Speed: Undercover,true,false,false
496,Spore: Creepy & Cute Parts Pack,true,false,false
497,Dragon Age: Origins,true,false,false
498,Mass Effect,true,false,false
499,Dead Space,true,false,false
500,Command and Conquer: Red Alert 3,true,false,false
501,"Pirates, Vikings, & Knights II",true,true,true
502,Dystopia,true,false,false
503,Nuclear Dawn,true,true,true
504,Empires,true,false,false
505,"On the Rain-Slick Precipice of Darkness, Episode One",true,false,false
506,"On the Rain-Slick Precipice of Darkness, Episode Two",true,false,false
507,DeathSpank,true,false,true
508,Deathspank Pre-order,true,false,true
509,DeathSpank: Thongs Of Virtue,true,false,true
510,The Baconing,true,false,true
511,Unstoppable Gorg,true,false,true
512,Spectraball,true,true,true
513,Crazy Machines 2,true,false,false
514,Crazy Machines,true,false,false
515,Crazy Machines 1.5,true,false,false
516,Crazy Machines 1.5 New from the Lab,true,false,false
517,Crazy Machines 1.5 Inventors Training Camp,true,false,false
518,Helldorado,true,false,false
519,Mata Hari,true,false,false
520,Defense Grid: The Awakening,true,false,false
521,Mayhem Intergalactic,true,false,false
522,And Yet It Moves,true,true,true
523,Zero Gear,true,false,false
524,Silent Hill: Homecoming,true,false,false
525,Puzzle Chronicles,true,false,false
526,Rocket Knight,true,false,false
527,Biozone,true,false,false
528,Tank Universal,true,false,false
529,Space Ark,true,false,false
