id,name,controllersupport,isfree,categorysingleplayer,categorymultiplayer,categorycoop,categorymmo,categoryinapppurchase,categoryincludesrcsdk,categoryincludeleveleditor,categoryvrsupport
1148,Beat Hazard,true,false,true,true,true,false,false,false,false,false
1149,Flight of the Icarus,false,false,true,false,false,false,false,false,false,false
1150,CreaVures,false,false,true,false,false,false,false,false,false,false
1151,Plain Sight,false,false,false,true,false,false,false,false,false,false
1152,Nimbus,false,false,true,false,false,false,false,false,false,false
1153,Sid Meier's Civilization V,false,false,true,true,false,false,false,false,false,false
1154,Mafia II,false,false,true,false,false,false,false,false,false,false
1155,Spec Ops: The Line,true,false,true,true,false,false,false,false,false,false
1156,Burn Zombie Burn,false,false,true,false,false,false,false,false,false,false
1157,Darksiders,false,false,true,false,false,false,false,false,false,false
1158,Darksiders,false,false,true,false,false,false,false,false,false,false
1159,Max and the Magic Marker,false,false,true,false,false,false,false,false,false,false
1160,PF and the Molten Mystery,false,false,true,false,false,false,false,false,false,false
1161,Hidden Expedition Amazon,false,false,true,false,false,false,false,false,false,false
1162,Hidden Expedition Everest,false,false,true,false,false,false,false,false,false,false
1163,Hidden Expedition Titanic,false,false,true,true,false,false,false,false,false,false
1164,Mahjong Towers Eternity,false,false,true,false,false,false,false,false,false,false
1165,Mystery Case Files: Huntsville,false,false,true,false,false,false,false,false,false,false
1166,Mystery Case Files: Madame Fate,false,false,true,false,false,false,false,false,false,false
1167,Mystery Case Files: PrimeSuspects,false,false,true,false,false,false,false,false,false,false
1168,Mystery Case Files: Ravenhearst,false,false,true,false,false,false,false,false,false,false
1169,Mystery Case Files: Return to Ravenhearst,false,false,true,false,false,false,false,false,false,false
1170,My Tribe,false,false,true,false,false,false,false,false,false,false
1171,Unwell Mel,false,false,true,false,false,false,false,false,false,false
1172,Atlantis Sky Patrol,false,false,true,false,false,false,false,false,false,false
1173,Drawn: The Painted Tower,false,false,true,false,false,false,false,false,false,false
1174,Tactical Intervention,false,true,false,true,false,false,false,false,false,false
1175,Mac Portal,false,false,true,false,false,false,false,true,true,false
1176,Flotilla,false,false,false,false,false,false,false,false,false,false
1177,Air Forte,false,false,true,true,true,false,false,false,false,false
1178,Atom Zombie Smasher,false,false,true,true,false,false,false,false,false,false
1179,Homefront,false,false,true,true,false,false,false,false,false,false
1180,Red Faction: Armageddon,false,false,true,false,true,false,false,false,false,false
1181,MX vs. ATV Reflex,false,false,true,true,false,false,false,false,false,false
1182,"Warhammer 40,000 Space Marine",true,false,true,true,false,false,false,false,false,false
1183,Saints Row: The Third,false,false,true,false,true,false,false,false,false,false
1184,"Warhammer® 40,000™: Dawn of War® II – Retribution™",false,false,true,true,true,false,false,false,false,false
1185,"Warhammer 40,000: Dawn of War II - Retribution - Campaign DLC",false,false,true,true,true,false,false,false,false,false
1186,"Warhammer 40,000: Dawn of War II - Retribution - Last Stand DLC",false,false,false,false,true,false,false,false,false,false
1187,NyxQuest,false,false,true,false,false,false,false,false,false,false
1188,Puzzle Dimension,false,false,true,false,false,false,false,false,false,false
1189,Amnesia: The Dark Descent,true,false,true,false,false,false,false,false,false,false
1190,Patrician IV: Steam Special Edition,false,false,true,false,false,false,false,false,false,false
1191,Broken Sword 1 - Shadow of the Templars: Director's Cut,false,false,true,false,false,false,false,false,false,false
1192,DUNGEONS - Steam Special Edition,false,false,true,false,false,false,false,false,false,false
1193,The First Templar,false,false,true,true,true,false,false,false,false,false
1194,Tropico 4,false,false,true,false,false,false,false,false,false,false
1195,Who's That Flying?!,true,false,true,false,false,false,false,false,false,false
1196,Jagged Alliance - Back in Action,false,false,true,false,false,false,false,false,false,false
1197,Doc Clock: The Toasted Sandwich of Time,false,false,true,false,false,false,false,false,false,false
1198,Duke Nukem Forever,false,false,true,true,false,false,false,false,false,false
1199,Jolly Rover,false,false,true,false,false,false,false,false,false,false
1200,MacGuffin's Curse,false,false,true,false,false,false,false,false,false,false
1201,Turba,false,false,true,false,false,false,false,false,false,false
1202,Blood Bowl: Legendary Edition,false,false,true,true,false,false,false,false,false,false
1203,A Game of Thrones - Genesis,false,false,true,true,false,false,false,false,false,false
1204,Runaway: A Twist of Fate,false,false,true,false,false,false,false,false,false,false
1205,The Next BIG Thing,false,false,true,false,false,false,false,false,false,false
1206,Wargame: European Escalation,false,false,true,true,false,false,false,false,false,false
1207,LUXOR: 5th Passage,false,false,true,false,false,false,false,false,false,false
1208,Glowfish,false,false,true,false,false,false,false,false,false,false
1209,ProtoGalaxy,false,true,true,true,true,false,false,false,false,false
1210,Power Of Defense,false,false,true,true,false,false,false,false,false,false
1211,Numen: Contest of Heroes,false,false,true,false,false,false,false,false,false,false
1212,Lucid,false,false,true,false,false,false,false,false,false,false
1213,Battle: Los Angeles,false,false,true,false,false,false,false,false,false,false
1214,Fractal: Make Blooms Not War,false,false,true,false,false,false,false,false,false,false
1215,Age of Wonders,false,false,true,true,false,false,false,false,false,false
1216,Age of Wonders 2,false,false,true,true,false,false,false,false,false,false
1217,Age of Wonders: Shadow Magic,false,false,true,true,false,false,false,false,false,false
1218,Zen Bound® 2,false,false,true,false,false,false,false,false,false,false
1219,Might & Magic: Clash of Heroes,false,false,true,true,true,false,false,false,false,false
1220,Critter Crunch,false,false,true,true,true,false,false,false,false,false
1221,Flight Control HD,false,false,true,false,false,false,false,false,false,false
1222,Chime,false,false,true,false,false,false,false,false,false,false
1223,HOARD,true,false,true,true,true,false,false,false,false,false
1224,Alter Ego,false,false,true,false,false,false,false,false,false,false
